name;address;cp;ville;country;phone;description
SELARL PHARMACIE DUCLOUX VALVIN;PL DE L AMITIE;13127;VITROLLES;FRANCE;04 42 89 65 22;Pharmacie d'Officine
SELEURL PHARMACIE PARADIS ST ROCH;ALL EDGAR DEGAS;13500;MARTIGUES;FRANCE;04 42 80 44 20;Pharmacie d'Officine
PHARMACIE MAYER;84 AV DU PORT;13230;PORT ST LOUIS DU RHONE;FRANCE;04 42 86 12 23;Pharmacie d'Officine
SELAS PHARMACIE DE PROVENCE;RTE D ISTRES;13500;MARTIGUES;FRANCE;04 42 80 80 22;Pharmacie d'Officine
SELARL PHARMACIE DE LAVERA;RTE DE LA GARE DE LAVERA;13117;MARTIGUES;FRANCE;04 42 81 43 67;Pharmacie d'Officine
SELARL PHARMACIE SAINT PIERRE;AV GENERAL DE GAULLE;13700;MARIGNANE;FRANCE;04 42 88 33 50;Pharmacie d'Officine
SELARL PHARMACIE SAINT JEAN;AV THEODORE AUBANEL;13600;LA CIOTAT;FRANCE;04 42 83 13 18;Pharmacie d'Officine
SARL PHARMACIE DIDIER ET JULIEN;AV JEAN MOULIN;13480;CABRIES;FRANCE;04 42 69 20 27;Pharmacie d'Officine
SELARL PHIE DU CENTRE BONNEVEINE;112 AV DE HAMBOURG;13008;MARSEILLE;FRANCE;04 91 72 12 99;Pharmacie d'Officine
SELARL GRANDE PHARMACIE DE LA PLAINE;48 PL JEAN JAURES;13006;MARSEILLE;FRANCE;04 91 48 77 94;Pharmacie d'Officine
SELARL PHARMACIE KOUHAILA;36 BD RABATAU;13008;MARSEILLE;FRANCE;04 91 79 32 89;Pharmacie d'Officine
SELAS PHARMACIE NORD;351 AV DE ST ANTOINE;13015;MARSEILLE;FRANCE;04 91 51 03 52;Pharmacie d'Officine
SELEURL PHARMACIE DELMAS;ALL DES PINS;13009;MARSEILLE;FRANCE;04 91 41 35 99;Pharmacie d'Officine
SELEURL PHARMACIE MOUKARZEL;118 BD BAILLE;13005;MARSEILLE;FRANCE;04 91 25 91 91;Pharmacie d'Officine
SELARL PHARMACIE PALMIERI FONTAINE;AV DE LA PETANQUE;13600;LA CIOTAT;FRANCE;04 42 08 64 66;Pharmacie d'Officine
SELARL PHARMACIE LA SAUVAGERE;253 BD ROMAIN ROLLAND;13010;MARSEILLE;FRANCE;04 91 75 12 25;Pharmacie d'Officine
PHARMACIE MORENO-VIDAL;GAL MARCHANDE;13290;AIX EN PROVENCE;FRANCE;04 42 20 26 94;Pharmacie d'Officine
SELEURL PHARMACIE DES PLATANES;LES PLATANES;13100;AIX EN PROVENCE;FRANCE;04 42 66 39 55;Pharmacie d'Officine
SELARL PHARMACIE DE FONTVIEILLE;RTE DES QUATRE SAISONS;13190;ALLAUCH;FRANCE;04 91 05 16 36;Pharmacie d'Officine
EURL PHARMACIE VILAR;269 BD DE LA REPUBLIQUE;13300;SALON DE PROVENCE;FRANCE;04 90 56 00 04;Pharmacie d'Officine
SELARL PHARMACIE ANDREANI;73 CHE DE PALAMA;13013;MARSEILLE;FRANCE;04 91 68 25 30;Pharmacie d'Officine
SELEURL PHARMACIE DES MINIMES;8 CRS DES MINIMES;13100;AIX EN PROVENCE;FRANCE;04 42 64 44 99;Pharmacie d'Officine
SELARL PHARMACIE THERY;98 R SAINT-SAVOURNIN;13001;MARSEILLE;FRANCE;04 91 48 51 91;Pharmacie d'Officine
SELARL PHARMACIE DES ARENES;17 R DU 4 SEPTEMBRE;13200;ARLES;FRANCE;04 90 96 02 77;Pharmacie d'Officine
SELARL PHARMACIE ROCHE;26 BD LONGCHAMP;13001;MARSEILLE;FRANCE;04 91 62 53 62;Pharmacie d'Officine
SELARL PHARMACIE PROVENCALE;42 BD DE LA REPUBLIQUE;13200;ARLES;FRANCE;04 90 96 06 43;Pharmacie d'Officine
SARL PHARMACIE XAVIER;ZONE D ACTIVITE DE LA GARE;13210;ST REMY DE PROVENCE;FRANCE;04 90 92 64 13;Pharmacie d'Officine
PHARMACIE MARAJO-DINI;80 R ALBE;13004;MARSEILLE;FRANCE;04 91 66 44 99;Pharmacie d'Officine
SELARL PHARMACIE GANCI;AV DU GRAND VALLAT;13290;AIX EN PROVENCE;FRANCE;04 42 26 02 18;Pharmacie d'Officine
SELARL ALEXANDRE MULOT;ZAC DE LA TUILIERE;13127;VITROLLES;FRANCE;04 42 75 38 48;Pharmacie d'Officine
SELARL PHARMACIE DE PLAN DE CAMPAGNE;PLAN DE CAMPAGNE;13170;LES PENNES MIRABEAU;FRANCE;04 42 02 64 16;Pharmacie d'Officine
SELARL PHIE JOUVENE-FAURE - LANSSARD;3 R DES ALLUMETTES;13100;AIX EN PROVENCE;FRANCE;04 42 26 26 93;Pharmacie d'Officine
SELARL PHARMACIE DES CARABINS;AV G.POMPIDOU;13270;FOS SUR MER;FRANCE;04 42 05 63 68;Pharmacie d'Officine
SELAS PHIE DU CTRE CAL JAS DE BOUFFAN;210 AV DE BREDASQUE;13100;AIX EN PROVENCE;FRANCE;04 42 20 23 14;Pharmacie d'Officine
SELARL PHARMACIE ADALIAN / BESCOND;QUA DES ARTAUDS;13390;AURIOL;FRANCE;04 42 72 88 34;Pharmacie d'Officine
SELARL PHARMACIE CHANTEPERDRIX;22 TRA DE CHANTE-PERDRIX;13010;MARSEILLE;FRANCE;04 91 44 77 03;Pharmacie d'Officine
SELEURL PHARMACIE DES ARCADES;32 PL BARET;13790;CHATEAUNEUF LE ROUGE;FRANCE;04 42 12 54 65;Pharmacie d'Officine
SELURL FGR PRO;5 R DE L EGLISE;13150;BOULBON;FRANCE;04 90 43 80 80;Pharmacie d'Officine
SELARL PHARMACIE DES QUATRE VENTS;6 AV CANTO PERDRIX;13500;MARTIGUES;FRANCE;04 42 80 41 75;Pharmacie d'Officine
SELARL PHARMACIE DU BOCAGE;1025 AV DU 7E REGIMENT TIRAILLEURS;13190;ALLAUCH;FRANCE;04 91 05 33 30;Pharmacie d'Officine
SELARL PHARMACIE DES PALMIERS;65 AV FREDERIC MISTRAL;13820;ENSUES LA REDONNE;FRANCE;04 42 45 79 54;Pharmacie d'Officine
SELARL PHARMACIE DE LA CONDAMINE;18 BD Gambetta;13150;TARASCON;FRANCE;04 90 91 00 76;Pharmacie d'Officine
SELARL PHARMACIE DU ROUMAGOUA;1 CHE ROUMAGOUA;13600;LA CIOTAT;FRANCE;04 42 08 91 18;Pharmacie d'Officine
PHARMACIE FONTIN;332 BD de la République;13600;LA CIOTAT;FRANCE;04 42 08 46 61;Pharmacie d'Officine
SELARL PHARMACIE LE TREBUCHET;32 R MARCEAU GAUTIER;13250;ST CHAMAS;FRANCE;04 90 50 93 65;Pharmacie d'Officine
SELARL PHARMACIE CESARI ESCARRAT;83 BD DU REDON;13009;MARSEILLE;FRANCE;04 91 41 33 74;Pharmacie d'Officine
SELARL PHARMACIE BELLE DE MAI;147 R LOUBON;13003;MARSEILLE;FRANCE;04 91 95 62 93;Pharmacie d'Officine
PHARMACIE RICHARD;141 AV DE SAINT ANTOINE;13015;MARSEILLE;FRANCE;04 91 51 32 43;Pharmacie d'Officine
PHARMACIE CORNUEL;20 R MIRABEAU;13220;CHATEAUNEUF LES MARTIGUES;FRANCE;04 42 07 04 36;Pharmacie d'Officine
SELARL PHARMAPACK;229 AV DU PRADO;13008;MARSEILLE;FRANCE;04 91 25 66 86;Pharmacie d'Officine
SELARL PHARMACIE HABERT;98 R RUE BALOTESTI;13105;MIMET;FRANCE;04 42 58 97 62;Pharmacie d'Officine
SELARL PHARMACIE DES OLIVIERS;552 AV JEAN MOULIN;13880;VELAUX;FRANCE;04 42 74 83 38;Pharmacie d'Officine
SELARL PHARMACIE BOUDRAA;13 AV JEAN MOULIN;13100;AIX EN PROVENCE;FRANCE;04 42 23 49 02;Pharmacie d'Officine
PHARMACIE BAILLY-JOYAU;16 BD LAURENT DAUPHIN;13440;CABANNES;FRANCE;04 90 95 34 84;Pharmacie d'Officine
PHARMACIE MUTUALISTE MUTUELLE DE LA CI;114 BD GUERIN;13600;LA CIOTAT;FRANCE;;Pharmacie d'Officine
OFFICINE DE BIVER;R DES TULIPES;13120;GARDANNE;FRANCE;04 42 58 33 17;Pharmacie d'Officine
SELARL PHIE  DU MAS DE LA CHAPELLE;49 AV DE LA CRAU;13118;ISTRES;FRANCE;04 90 50 50 01;Pharmacie d'Officine
PHARMACIE FELGEROLLES;ZAC DU JAS DE BOUFFAN;13090;AIX EN PROVENCE;FRANCE;04 42 64 18 76;Pharmacie d'Officine
SELARL PHARMACIE DE L'EUROPE;20 BD LOUBET;13710;FUVEAU;FRANCE;04 42 68 18 91;Pharmacie d'Officine
PHARMACIE AILLAUD;31 PL GAMBETTA;13300;SALON DE PROVENCE;FRANCE;04 90 53 34 42;Pharmacie d'Officine
SELARL PHARMACIE DECOUTERE;7 BD DELEAN;14370;ARGENCES;FRANCE;02 31 23 60 35;Pharmacie d'Officine
PHARMACIE DU 3;3 R DU COLONEL RENE MICHEL;14117;ARROMANCHES LES BAINS;FRANCE;02 31 22 37 70;Pharmacie d'Officine
PHARMACIE DALLEMAGNE-JORET;4 R D HARCOURT;14260;LES MONTS D AUNAY;FRANCE;02 31 77 63 38;Pharmacie d'Officine
SELARL PHARMACIE GIRRE;19 R DU 12 JUIN 1944;14260;LES MONTS D AUNAY;FRANCE;02 31 77 63 50;Pharmacie d'Officine
SELARL PHARMACIE SAINT PATRICE;15 R ST PATRICE;14400;BAYEUX;FRANCE;02 31 92 04 27;Pharmacie d'Officine
PHARMACIE DUCHAUSSOY;BD DU 6 JUIN;14400;BAYEUX;FRANCE;02 31 92 89 30;Pharmacie d'Officine
SARL PHARMACIE DU BESSIN;BD D EINDHOVEN;14400;BAYEUX;FRANCE;02 31 92 02 84;Pharmacie d'Officine
PHARMACIE D'ARGOUGES;43 R DE BEAUVAIS;14400;BAYEUX;FRANCE;02 31 92 34 59;Pharmacie d'Officine
PHARMACIE GROUALLE-CAUCHE;24 R DES CHANOINES;14400;BAYEUX;FRANCE;02 31 92 03 97;Pharmacie d'Officine
PHARMACIE CENTRALE;1 R ST JEAN;14400;BAYEUX;FRANCE;02 31 92 07 63;Pharmacie d'Officine
PHARMACIE DU CENTRE;15 R DE ST MALO;14400;BAYEUX;FRANCE;02 31 92 00 83;Pharmacie d'Officine
PHARMACIE TROUSSIER;RTE D ORBEC;14100;BEUVILLERS;FRANCE;02 31 62 72 42;Pharmacie d'Officine
PHARMACIE CHAUNU;5 R DES FORGES;14490;BALLEROY SUR DROME;FRANCE;02 31 21 60 10;Pharmacie d'Officine
PHARMACIE DE BIEVILLE BEUVILLE;R DU GENERAL DE GAULLE;14112;BIEVILLE BEUVILLE;FRANCE;02 31 44 31 14;Pharmacie d'Officine
PHARMACIE LA CROIX DE BERNIERES;265 VOI DU DEBARQUEMENT;14990;BERNIERES SUR MER;FRANCE;02 31 96 45 23;Pharmacie d'Officine
PHARMACIE MARIE-NEGRINI;1 PL DE L EGLISE;14550;BLAINVILLE SUR ORNE;FRANCE;02 31 44 61 42;Pharmacie d'Officine
PHARMACIE CENTRE COLBERT;R DU GENERAL LECLERC;14550;BLAINVILLE SUR ORNE;FRANCE;02 31 44 64 22;Pharmacie d'Officine
PHARMACIE SAMYN;28 R DU CENTRE;14340;BONNEBOSQ;FRANCE;02 31 65 11 99;Pharmacie d'Officine
SELARL PHARMACIE DE L'EGLISE;PL MARIN;14740;THUE ET MUE;FRANCE;02 31 80 71 06;Pharmacie d'Officine
PHARMACIE DE L'ODON;62 RTE DE BRETAGNE;14760;BRETTEVILLE SUR ODON;FRANCE;02 31 73 47 36;Pharmacie d'Officine
SELARL PHARMACIE DU XXIÈME SIÈCLE;8 AV DE LA MER;14390;CABOURG;FRANCE;02 31 91 01 44;Pharmacie d'Officine
PHARMACIE MARINE;59 AV DE LA MER;14390;CABOURG;FRANCE;02 31 91 31 46;Pharmacie d'Officine
PHARMACIE LEMARCHAND;;14000;CAEN;FRANCE;02 31 43 80 00;Pharmacie d'Officine
PHARMACIE DU THEATRE;6 R PAUL DOUMER;14000;CAEN;FRANCE;02 31 86 07 37;Pharmacie d'Officine
PHARMACIE DE LA MALADRERIE;6 R DE L EGLISE;14000;CAEN;FRANCE;02 31 74 53 43;Pharmacie d'Officine
PHARMACIE DU CHATEAU;6 R MONTOIR POISSONNERIE;14000;CAEN;FRANCE;02 31 93 64 78;Pharmacie d'Officine
PHARMACIE DU PARC;107 AV GUYNEMER;14000;CAEN;FRANCE;02 31 52 01 43;Pharmacie d'Officine
PHARMACIE DE VENOIX;17 AV HENRY CHERON;14000;CAEN;FRANCE;02 31 74 62 91;Pharmacie d'Officine
SELAS GRANDE PHARMACIE DU PROGRES;2 BD DES ALLIES;14000;CAEN;FRANCE;02 31 27 70 10;Pharmacie d'Officine
PHARMACIE GAUTIER - VAULTIER;53 R DE LA PIGACIERE;14000;CAEN;FRANCE;02 31 93 69 78;Pharmacie d'Officine
SARL PHARMACIE DU NICE CAENNAIS;198 R CAPONIERE;14000;CAEN;FRANCE;02 31 86 00 28;Pharmacie d'Officine
PHARMACIE DEROUET - SCHIEBOLD;49 PL DE L ANCIENNE BOUCHERIE;14000;CAEN;FRANCE;02 31 85 48 12;Pharmacie d'Officine
PHARMACIE 2000;R DU CHEMIN VERT;14000;CAEN;FRANCE;02 31 74 75 21;Pharmacie d'Officine
PHARMACIE DU CALVAIRE SAINT-PIERRE;17 R HORATIO SMITH;14000;CAEN;FRANCE;02 31 93 10 19;Pharmacie d'Officine
PHARMACIE SAINT-MICHEL;54 R DE VAUCELLES;14000;CAEN;FRANCE;02 31 82 36 70;Pharmacie d'Officine
PHARMACIE GALERNE;30 R DES CARRIERES DE VAUCELLES;14000;CAEN;FRANCE;02 31 52 13 95;Pharmacie d'Officine
PHARMACIE DU CHEMIN-VERT;33 AV DU PRESIDENT COTY;14000;CAEN;FRANCE;02 31 73 26 33;Pharmacie d'Officine
PHARMACIE DANJOU-ROUSSELOT;5 PL MALHERBE;14000;CAEN;FRANCE;02 31 30 78 17;Pharmacie d'Officine
PHARMACIE DU CYGNE DE CROIX;93 R DE FALAISE;14000;CAEN;FRANCE;02 31 82 64 60;Pharmacie d'Officine
SARL PHARMACIE JEANNE D'ARC;3 PL DE LA RESISTANCE;14000;CAEN;FRANCE;02 31 86 24 39;Pharmacie d'Officine
PHARMACIE LEVESQUE-ALLIAUME;47 AV D HARCOURT;14000;CAEN;FRANCE;02 31 52 10 91;Pharmacie d'Officine
GRANDE PHARMACIE DE CAEN;49 R ST PIERRE;14000;CAEN;FRANCE;02 31 27 90 90;Pharmacie d'Officine
PHARMACIE DE LA DEMI-LUNE;179 R D AUGE;14000;CAEN;FRANCE;02 31 82 25 63;Pharmacie d'Officine
PHARMACIE DE LA GRACE DE DIEU;1 PL DU COMMERCE;14054;CAEN CEDEX 4;FRANCE;02 31 83 68 36;Pharmacie d'Officine
SELARL PHARMACIE LE COMPTOIR NATUREL;95 R DE BAYEUX;14000;CAEN;FRANCE;02 31 94 37 14;Pharmacie d'Officine
PHARMACIE MAUNY - GIRARD;1 R Lamartine place de la Liber;14000;CAEN;FRANCE;02 31 82 39 80;Pharmacie d'Officine
PHARMACIE PERDRIEL;24 R LANFRANC;14000;CAEN;FRANCE;02 31 74 25 24;Pharmacie d'Officine
PHARMACIE SAINT-OUEN;62 R ST OUEN;14000;CAEN;FRANCE;02 31 74 56 28;Pharmacie d'Officine
PHARMACIE HERBLAND-MIGINIAC;13 PL DE LA REPUBLIQUE;14000;CAEN;FRANCE;02 31 86 11 13;Pharmacie d'Officine
PHARMACIE LE MOUX;1 AV DE TOURVILLE;14000;CAEN;FRANCE;02 31 95 57 30;Pharmacie d'Officine
PHARMACIE DE L'ORATOIRE;64 R ST JEAN;14000;CAEN;FRANCE;02 31 85 41 64;Pharmacie d'Officine
PHARMACIE LEVASSEUR;132 R ST JEAN;14000;CAEN;FRANCE;02 31 86 13 01;Pharmacie d'Officine
PHARMACIE SAINT PAUL;71 R D AUTHIE;14000;CAEN;FRANCE;02 31 74 57 32;Pharmacie d'Officine
PHARMACIE ANTOINE;3 PL ST SAUVEUR;14000;CAEN;FRANCE;02 31 85 48 40;Pharmacie d'Officine
PHARMACIE DE L'ORNE;40 QU HAMELIN;14000;CAEN;FRANCE;02 31 82 25 31;Pharmacie d'Officine
PHARMACIE OLIVIER;PL CHAMPLAIN;14000;CAEN;FRANCE;02 31 94 71 58;Pharmacie d'Officine
PHARMACIE JOUENNE;32 AV GEORGES CLEMENCEAU;14000;CAEN;FRANCE;;Pharmacie d'Officine
PHARMACIE DE LA FONTAINE VENOISE;71 AV CHARLEMAGNE;14000;CAEN;FRANCE;02 31 73 26 34;Pharmacie d'Officine
PHARMACIE DE LA PLAINE;50 RTE DE PARIS;14630;CAGNY;FRANCE;02 31 23 41 71;Pharmacie d'Officine
PHARMACIE LEPELTIER-RICHARDET;PL DE L EGLISE;14340;CAMBREMER;FRANCE;02 31 63 01 44;Pharmacie d'Officine
PHARMACIE DE  CARPIQUET;97 RTE DE CAUMONT;14650;CARPIQUET;FRANCE;02 31 26 58 71;Pharmacie d'Officine
PHARMACIE DU PRE BOCAGE;24 R ST MARTIN;14240;CAUMONT SUR AURE;FRANCE;02 31 77 50 99;Pharmacie d'Officine
PHARMACIE MARTINET;5 RTE DE SAINT CLAIR;14220;CESNY LES SOURCES;FRANCE;02 31 78 33 57;Pharmacie d'Officine
PHARMACIE DE CLECY;7 R DE LA POSTE;14570;CLECY;FRANCE;02 31 69 71 03;Pharmacie d'Officine
PHARMACIE COURTEILLE;44 GRANDE RUE;14880;COLLEVILLE MONTGOMERY;FRANCE;02 31 96 41 94;Pharmacie d'Officine
PHARMACIE SIMOENS;3 AV DE LA LIBERTE;14460;COLOMBELLES;FRANCE;02 31 72 40 13;Pharmacie d'Officine
SELARL PHARMACIE VEREECKE;49 AV DE LA LIBERTE;14460;COLOMBELLES;FRANCE;02 31 72 40 07;Pharmacie d'Officine
PHARMACIE SAINT SAUVEUR;2 R ST SAUVEUR;14110;CONDE EN NORMANDIE;FRANCE;02 31 69 01 45;Pharmacie d'Officine
PHARMACIE CENTRALE;1 R DU 6 JUIN;14110;CONDE EN NORMANDIE;FRANCE;02 31 69 00 64;Pharmacie d'Officine
PHARMACIE DU VIEUX CHATEAU;8 R DU VIEUX CHATEAU;14110;CONDE EN NORMANDIE;FRANCE;02 31 69 01 40;Pharmacie d'Officine
SELARL PHARMACIE DES DRAKKARS;2 R DE PAGNOLEE;14123;CORMELLES LE ROYAL;FRANCE;02 31 52 01 52;Pharmacie d'Officine
PHARMACIE MARETTE-VAUDORÉ;1 R AMIRAL ROBERT;14470;COURSEULLES SUR MER;FRANCE;02 31 37 45 10;Pharmacie d'Officine
SELARL PHARMACIE GAZENGEL - MARMONTEL;42 R DE LA MER;14470;COURSEULLES SUR MER;FRANCE;02 31 83 48 17;Pharmacie d'Officine
PHARMACIE SARTORIO;28 R DE CAEN;14480;CREULLY SUR SEULLES;FRANCE;02 31 80 10 08;Pharmacie d'Officine
PHARMACIE PIERRATTE-LEMOINE;RTE DE PARIS;14340;MEZIDON VALLEE D AUGE;FRANCE;02 31 63 03 02;Pharmacie d'Officine
PHARMACIE DE L'EGLISE;190 AV DE LA REPUBLIQUE;14800;DEAUVILLE;FRANCE;02 31 88 79 49;Pharmacie d'Officine
PHARMACIE DE L'HORLOGE;14 PL MORNY;14800;DEAUVILLE;FRANCE;02 31 88 20 47;Pharmacie d'Officine
PHARMACIE ANGLAISE;24 PL MORNY;14800;DEAUVILLE;FRANCE;02 31 88 20 28;Pharmacie d'Officine
PHARMACIE TREICH;13 R DU CENTRE;14840;DEMOUVILLE;FRANCE;02 31 72 36 26;Pharmacie d'Officine
PHARMACIE DES HALLES;17 PL DE LA REPUBLIQUE;14160;DIVES SUR MER;FRANCE;02 31 91 04 73;Pharmacie d'Officine
PHARMACIE NAIM;BD M. THOREZ;14160;DIVES SUR MER;FRANCE;02 31 91 05 08;Pharmacie d'Officine
PHARMACIE DE LA BASILIQUE;78 R DU GENERAL DE GAULLE;14440;DOUVRES LA DELIVRANDE;FRANCE;02 31 37 29 60;Pharmacie d'Officine
PHARMACIE BEAUJOUAN;111 Grande Rue;14430;DOZULE;FRANCE;02 31 79 20 64;Pharmacie d'Officine
SELARL PHARMACIE DES MOULINS;9 PL DU GENERAL DE GAULLE;14210;EVRECY;FRANCE;02 31 80 51 30;Pharmacie d'Officine
PHARMACIE BOBAY-JEGAT;11 R ST GERVAIS;14700;FALAISE;FRANCE;02 31 90 04 20;Pharmacie d'Officine
PHARMACIE DISSON;2 R LOUIS ROCHET;14700;FALAISE;FRANCE;02 31 90 10 30;Pharmacie d'Officine
PHARMACIE FRANÇOISE;5 R DE LA FRESNAYE;14700;FALAISE;FRANCE;02 31 90 04 38;Pharmacie d'Officine
PHARMACIE VITI;16 PL REINE MATHILDE;14700;FALAISE;FRANCE;02 31 90 08 14;Pharmacie d'Officine
PHARMACIE MARMONTEL;9 PL DU DOCTEUR PAUL GERMAN;14700;FALAISE;FRANCE;02 31 90 09 27;Pharmacie d'Officine
PHARMACIE LAMI;PL DE LA FONTAINE;14140;LIVAROT PAYS D AUGE;FRANCE;02 31 33 30 06;Pharmacie d'Officine
PHARMACIE DE LA PANACEE;41 RTE d'Harcourt;14123;FLEURY SUR ORNE;FRANCE;02 31 52 10 66;Pharmacie d'Officine
PHARMACIE DAUBIN;R DES ROSIERS;14320;FONTENAY LE MARMION;FRANCE;02 31 79 81 60;Pharmacie d'Officine
PHARMACIE RULLIER;34 R DE LA LIBERTE;14730;GIBERVILLE;FRANCE;02 31 72 37 39;Pharmacie d'Officine
PHARMACIE WAGNER;25 R PASTEUR;14730;GIBERVILLE;FRANCE;02 31 72 00 79;Pharmacie d'Officine
PHARMACIE DU NOROIT;72 R ARISTIDE BRIAND;14450;GRANDCAMP MAISY;FRANCE;02 31 22 60 50;Pharmacie d'Officine
PHARMACIE DU COEUR DE BOURG;41 GRANDE RUE;14880;HERMANVILLE SUR MER;FRANCE;02 31 96 12 21;Pharmacie d'Officine
PHARMACIE PRADIER;1405 BD GRANDE DELLE;14200;HEROUVILLE ST CLAIR;FRANCE;02 31 47 61 44;Pharmacie d'Officine
PHARMACIE DES BELLES  PORTES;326 BD DES BELLES PORTES;14200;HEROUVILLE ST CLAIR;FRANCE;02 31 95 78 12;Pharmacie d'Officine
PHARMACIE CENTRALE;2 AV DE LA GRANDE CAVEE;14200;HEROUVILLE ST CLAIR;FRANCE;02 31 54 07 35;Pharmacie d'Officine
PHARMACIE MONTMORENCY;6 PL DES CANADIENS;14200;HEROUVILLE ST CLAIR;FRANCE;02 31 95 69 66;Pharmacie d'Officine
PHARMACIE DE LA HAUTE FOLIE;;14200;HEROUVILLE ST CLAIR;FRANCE;02 31 47 61 05;Pharmacie d'Officine
PHARMACIE SAINT-LEONARD;2 R CHARLES ET PAUL BREARD;14600;HONFLEUR;FRANCE;02 31 89 02 15;Pharmacie d'Officine
PHARMACIE DU DAUPHIN;5 R DU DAUPHIN;14600;HONFLEUR;FRANCE;02 31 89 10 80;Pharmacie d'Officine
PHARMACIE DES  BAINS;42 R DES BAINS;14510;HOULGATE;FRANCE;02 31 28 70 52;Pharmacie d'Officine
PHARMACIE DES JONQUILLES;13 PL DES JONQUILLES;14123;IFS;FRANCE;02 31 82 34 81;Pharmacie d'Officine
SELARL PHARMACIE D'ISIGNY SUR MER;2 AV DE VERSAILLES;14230;ISIGNY SUR MER;FRANCE;02 31 22 03 99;Pharmacie d'Officine
PHARMACIE DE LA CAMBE;37 R PRINCIPALE;14230;LA CAMBE;FRANCE;02 31 22 72 79;Pharmacie d'Officine
SELARL PHARMACIE LA GRAVERIE;10 R DE VIRE;14350;SOULEUVRE EN BOCAGE;FRANCE;02 31 67 04 94;Pharmacie d'Officine
PHARMACIE BOURREL;LE BOURG;14380;LANDELLES ET COUPIGNY;FRANCE;02 31 68 84 11;Pharmacie d'Officine
PHARMACIE DE LANGRUNE;11 AV DE LA LIBERATION;14830;LANGRUNE SUR MER;FRANCE;02 31 97 32 90;Pharmacie d'Officine
PHARMACIE DE LA RIVIERE;29 R DU BOURG;14600;LA RIVIERE ST SAUVEUR;FRANCE;02 31 98 70 20;Pharmacie d'Officine
PHARMACIE LETEURTRE;PL DU MARCHE;14350;SOULEUVRE EN BOCAGE;FRANCE;02 31 68 63 15;Pharmacie d'Officine
PROSANTE;1 R DE BAYEUX;14330;LE MOLAY LITTRY;FRANCE;02 31 22 95 63;Pharmacie d'Officine
PHARMACIE BLEAS-GERMAN;26 BD PAUL DOUMER;14780;LION SUR MER;FRANCE;02 31 97 20 32;Pharmacie d'Officine
PHARMACIE DU PAYS D'AUGE;113 R HENRY CHERON;14100;LISIEUX;FRANCE;02 31 62 01 67;Pharmacie d'Officine
PHARMACIE VICTOR HUGO;8 AV VICTOR HUGO;14100;LISIEUX;FRANCE;02 31 62 01 47;Pharmacie d'Officine
PHARMACIE BERNARD;13 PL MOZART;14100;LISIEUX;FRANCE;02 31 31 07 56;Pharmacie d'Officine
PHARMACIE DE LA CATHEDRALE;1 PL FRANCOIS MITTERAND;14100;LISIEUX;FRANCE;02 31 62 01 32;Pharmacie d'Officine
PHARMACIE CARRE;18 R DU GENERAL LECLERC;14100;LISIEUX;FRANCE;02 31 62 02 75;Pharmacie d'Officine
PHARMACIE BLANCHARD;53 R HENRI CHERON;14100;LISIEUX;FRANCE;02 31 62 00 73;Pharmacie d'Officine
PHARMACIE OURSEL;34 R DU PONT MORTAIN;14100;LISIEUX;FRANCE;02 31 62 03 57;Pharmacie d'Officine
PHARMACIE DE LA GARE;8 PL FOURNET;14100;LISIEUX;FRANCE;02 31 62 17 01;Pharmacie d'Officine
PHARMACIE LEXOVIENNE;27 AV DU 6 JUIN;14100;LISIEUX;FRANCE;02 31 62 00 67;Pharmacie d'Officine
PHARMACIE CENTRALE;42 R HENRY CHERON;14100;LISIEUX;FRANCE;02 31 48 62 50;Pharmacie d'Officine
PHARMACIE FILOMENA;AV DU PRESIDENT COTY;14100;LISIEUX;FRANCE;02 31 62 19 93;Pharmacie d'Officine
PHARMACIE D'AIGREMONT -   BAYOUD;1 PL PASTEUR;14140;LIVAROT PAYS D AUGE;FRANCE;02 31 63 51 81;Pharmacie d'Officine
PHARMACIE DU LONG COURS;;14111;LOUVIGNY;FRANCE;02 31 73 32 40;Pharmacie d'Officine
PHARMACIE DE LA MER;1 PL DE L ETOILE;14530;LUC SUR MER;FRANCE;02 31 97 32 10;Pharmacie d'Officine
PHARMACIE DE MATHIEU;R EDOUARD LEGRAND;14920;MATHIEU;FRANCE;02 31 44 17 79;Pharmacie d'Officine
SELARL PHARMACIE DE MAY;11 R DU CANADA;14320;MAY SUR ORNE;FRANCE;02 31 79 80 94;Pharmacie d'Officine
PHARMACIE DE MERVILLE FRANCEVILLE;59 AV DE PARIS;14810;MERVILLE FRANCEVILLE PLAGE;FRANCE;02 31 24 21 87;Pharmacie d'Officine
PHARMACIE LENFANT - ZERGER;72 AV JEAN JAURES;14270;MEZIDON VALLEE D AUGE;FRANCE;02 31 20 09 23;Pharmacie d'Officine
PHARMACIE LE CHEVALIER;2 R VICTOR HUGO;14270;MEZIDON VALLEE D AUGE;FRANCE;02 31 20 07 67;Pharmacie d'Officine
SELARL PHARMACIE VALLOGNES;40 R PASTEUR;14120;MONDEVILLE;FRANCE;02 31 34 48 48;Pharmacie d'Officine
PHARMACIE DU CENTRE;48 R CHAPRON;14120;MONDEVILLE;FRANCE;02 31 52 15 71;Pharmacie d'Officine
"SARL """"PHARMACIE DE MONDEVILLE 2""""";CCAL MONDEVILLE 2;14120;MONDEVILLE;FRANCE;02 31 82 22 66;Pharmacie d'Officine
